,dataset,ensemble,base_naive,base_hatt,base_MLP,feature_selector,avg_selected_features,final_naive,final_hatt,final_MLP,random_ensemble,total_samples,accuracy,running_time
57,data/HYP.csv,heft,1,0,0,FCBF,1.0,1,0,1,0,1000,0.5,0.88
58,data/HYP.csv,heft,0,1,0,FCBF,1.0,0,1,1,0,1000,0.52,1.0
59,data/HYP.csv,heft,1,1,0,FCBF,1.0,1,1,1,0,1000,0.52,1.01
60,data/HYP.csv,heft,1,1,0,FCBF,1.0,1,1,0,1,1000,0.52,0.25
61,data/HYP.csv,heft,1,0,0,FCBF,1.0,1,0,1,1,1000,0.4788,0.93
62,data/HYP.csv,heft,0,1,0,FCBF,1.0,0,1,1,1,1000,0.52,1.01
63,data/HYP.csv,heft,1,1,0,FCBF,1.0,1,1,1,1,1000,0.5,1.07
64,data/HYP.csv,heft,1,1,0,CMIM,7.4,2,1,0,0,1000,0.52,0.64
65,data/HYP.csv,heft,1,0,0,CMIM,7.4,1,0,2,0,1000,0.5962,1.41
66,data/HYP.csv,heft,0,1,0,CMIM,7.4,0,1,2,0,1000,0.5062,1.54
67,data/HYP.csv,heft,1,1,0,CMIM,7.4,1,1,2,0,1000,0.4675,1.7
68,data/HYP.csv,heft,1,1,0,CMIM,7.4,1,2,0,1,1000,0.52,0.67
69,data/HYP.csv,heft,1,0,0,CMIM,7.4,1,0,2,1,1000,0.575,1.42
70,data/HYP.csv,heft,0,1,0,CMIM,7.4,0,2,1,1,1000,0.555,1.36
71,data/HYP.csv,heft,1,1,0,CMIM,7.4,1,2,1,1,1000,0.4788,1.48
72,data/KDD_PRE.csv,awe,1,0,0,0,0,0,0,0,0,1000,0.775,0.96
73,data/KDD_PRE.csv,aee,1,0,0,0,0,0,0,0,0,1000,0.97,3.08
74,data/KDD_PRE.csv,heft,1,1,0,FCBF,25.0,1,1,0,0,1000,0.9975,0.8
75,data/KDD_PRE.csv,heft,1,0,0,FCBF,31.0,1,0,1,0,800,1.0,0.61
76,data/KDD_PRE.csv,heft,0,1,0,FCBF,31.0,0,1,1,0,800,1.0,0.67
77,data/KDD_PRE.csv,heft,1,1,0,FCBF,31.0,1,1,1,0,800,1.0,0.84
78,data/KDD_PRE.csv,heft,1,1,0,FCBF,25.0,1,1,0,1,1000,0.9975,0.91
79,data/KDD_PRE.csv,heft,1,0,0,FCBF,31.0,1,0,1,1,800,1.0,0.59
80,data/KDD_PRE.csv,heft,0,1,0,FCBF,31.0,0,1,1,1,800,1.0,0.69
81,data/KDD_PRE.csv,heft,1,1,0,FCBF,31.0,1,1,1,1,800,1.0,0.82
82,data/KDD_PRE.csv,heft,1,1,0,CMIM,3.4,5,1,0,0,1000,0.9975,0.46
83,data/KDD_PRE.csv,heft,1,0,0,CMIM,3.4,1,0,5,0,1000,0.9975,1.11
84,data/KDD_PRE.csv,heft,0,1,0,CMIM,3.4,0,1,5,0,1000,0.9975,1.18
85,data/KDD_PRE.csv,heft,1,1,0,CMIM,3.4,1,1,5,0,1000,0.9975,1.18
86,data/KDD_PRE.csv,heft,1,1,0,CMIM,3.4,5,1,0,1,1000,0.9975,0.47
87,data/KDD_PRE.csv,heft,1,0,0,CMIM,3.4,2,0,4,1,1000,0.9975,1.03
88,data/KDD_PRE.csv,heft,0,1,0,CMIM,3.4,0,3,3,1,1000,0.9975,0.96
89,data/KDD_PRE.csv,heft,1,1,0,CMIM,3.4,3,1,3,1,1000,0.9975,0.98
